date,track_title,track_id,artist_name,artist_id,album_name,album_id,date_date
2020-01-29 20:31:24.681,Sultans Of Swing,37Tmv4NnfQeb0ZgUC4fOJj,Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,2rCS6Xwx32V27pvgFzLzlT,2020-01-29
2020-01-16 04:19:53.723,Turn! Turn! Turn! (To Everything There Is a Season),5qBqBdfTEIWJwAS0Jm2F5R,The Byrds,1PCZpxHJz7WAMF8EEq8bfc,Turn! Turn! Turn!,3v0i9qyogPoQEQj2bG6Fmn,2020-01-29
2020-05-25 07:05:04.270,Highway to Hell,2zYzyRzz6pRmhPzyfMEC8s,AC/DC,711MCceyCBcFnzjGY4Q7Un,Highway to Hell,10v912xgTZbjAtYfyKWJCS,2020-01-29
2020-03-16 05:25:38.238,Peace of Mind,1GqlvSEtMx5xbGptxOTTyk,Boston,29kkCKKGXheHuoO829FxWK,Boston,2QLp07RO6anZHmtcKTEvSC,2020-01-29
2020-09-24 06:26:04.037,Jump - 2015 Remaster,7N3PAbqfTjSEU1edb2tY8j,Van Halen,2cnMpRsOVqtPMfq7YiFE6K,1984 (Remastered),3REUXdj5OPKhuDTrTtCBU0,2020-01-29
2020-02-04 10:06:22.627,Back In The U.S.S.R. - Remastered 2009,0j3p1p06deJ7f9xmJ9yG22,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles (Remastered),1klALx0u4AavZNEvC4LrTL,2020-01-29
2020-08-06 10:27:21.573,Rock And Roll All Nite,6KTv0Z8BmVqM7DPxbGzpVC,KISS,07XSN3sPlIlB2L2XNcTwJw,Dressed To Kill,1YCC4oZXg2zGn7pVSKVlGF,2020-01-29
2020-02-02 17:50:28.603,Under Pressure - Remastered,2fuCquhmrzHpu5xcA1ci9x,Queen,1dfeR4HaWDbWqFHLkxsg1d,Hot Space (2011 Remaster),6reTSIf5MoBco62rk8T7Q1,2020-01-29
2020-01-07 08:33:41.429,Personal Jesus - Single Version,4UCTgh5jvtqoaMX6MAhUNn,Depeche Mode,762310PdDnwsDxAQxzQkfX,The Singles 86-98,61h3VS8XDROIpvQznjTPTT,2020-01-29
2020-06-01 21:10:36.847,Personal Jesus - Single Version,4UCTgh5jvtqoaMX6MAhUNn,Depeche Mode,762310PdDnwsDxAQxzQkfX,The Singles 86-98,61h3VS8XDROIpvQznjTPTT,2020-01-29
2020-07-20 16:11:32.931,Baba O'Riley,3qiyyUfYe7CRYLucrPmulD,The Who,67ea9eGLXYMsO2eYQRui3w,Who's Next,5MqyhhHbT13zsloD3uHhlQ,2020-01-29
2020-03-26 06:00:28.105,The Chain - 2004 Remaster,5e9TFTbltYBg2xThimr0rU,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Rumours (Super Deluxe),0BwWUstDMUbgq2NYONRqlu,2020-01-29
2020-06-29 01:58:24.484,Stranglehold,2f0P7iELCvAlV8j6Z3rGDE,Ted Nugent,21ysNsPzHdqYN2fQ75ZswG,Ted Nugent,71SdSYZuuy7fCWbx0iqtac,2020-01-29
2020-10-19 17:15:01.687,I Hate Myself for Loving You,2HXixVqzzm9rEUIMAWzshl,Joan Jett & The Blackhearts,1Fmb52lZ6Jv7FMWXXTPO3K,Up Your Alley,2pkv3nrNrwtUdT8VNWwt5U,2020-01-29
2020-01-07 06:09:47.549,The Joker,1bp2IO61zbQrbWNmKKxg3f,Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,The Joker,5uYNj1HkZrWKAkhEYcGmJr,2020-01-29
2020-09-09 20:49:03.273,Sweet Child O' Mine,7o2CTH4ctstm8TNelqjb51,Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,Appetite For Destruction,3I9Z1nDCL4E0cP62flcbI5,2020-01-29
2020-02-01 10:44:18.972,Jump - 2015 Remaster,7N3PAbqfTjSEU1edb2tY8j,Van Halen,2cnMpRsOVqtPMfq7YiFE6K,1984 (Remastered),3REUXdj5OPKhuDTrTtCBU0,2020-01-29
2020-07-30 15:41:44.160,Me and Bobby McGee,1IqFh00G2kvvMm8pRMpehA,Janis Joplin,4NgfOZCL9Ml67xzM0xzIvC,Pearl (Legacy Edition),3j7nicLAWXM0Fb08q9XGyf,2020-01-29
2020-07-22 05:09:16.365,Sunshine Of Your Love,2K2M0TcglCRLLpFOzKeFZA,Cream,74oJ4qxwOZvX6oSsu1DGnw,Disraeli Gears (Deluxe Edition),3W6CI0Lw7lElAPID2Fd3B4,2020-01-29
2020-06-03 10:48:35.865,Baba O'Riley,3qiyyUfYe7CRYLucrPmulD,The Who,67ea9eGLXYMsO2eYQRui3w,Who's Next,5MqyhhHbT13zsloD3uHhlQ,2020-01-29
2020-04-10 09:37:33.158,Tom Sawyer,3QZ7uX97s82HFYSmQUAN1D,Rush,2Hkut4rAAyrQxRdof7FVJq,Moving Pictures (2011 Remaster),2xg7iIKoSqaDNpDbJnyCjY,2020-01-29
2020-02-04 08:50:49.650,Fortunate Son,4BP3uh0hFLFRb5cjsgLqDh,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,Willy And The Poor Boys,31q47gQszFt0CddSyMksgO,2020-01-29
2020-06-13 23:38:37.310,Walk This Way,5SZ6zX4rOrEQferfFC2MfP,Aerosmith,7Ey4PD4MYsKc5I2dolUwbH,Toys In The Attic,36IxIOGEBAXVozDSiVs09B,2020-01-29
2020-07-05 23:17:08.340,White Room,3Xls4cNOwy01dtrNXb1inG,Cream,74oJ4qxwOZvX6oSsu1DGnw,Wheels Of Fire,0zrtTZC7yY2TOEhnbJzSb9,2020-01-29
2020-01-04 00:12:01.163,T.N.T.,7LRMbd3LEoV5wZJvXT1Lwb,AC/DC,711MCceyCBcFnzjGY4Q7Un,High Voltage,19AUoKWRAaQYrggVvdQnqq,2020-01-29
2020-02-20 11:47:50.265,"Paint It, Black - Mono",1RJeiAIwR9pZBgJA8ndZLL,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones In Mono (Remastered 2016),5nKpMsduwp5xqCKq2IbSKv,2020-01-29
2020-10-13 19:11:01.706,More Than a Feeling,1QEEqeFIZktqIpPI4jSVSF,Boston,29kkCKKGXheHuoO829FxWK,Boston,2QLp07RO6anZHmtcKTEvSC,2020-01-29
